Reference area,2014,2019
Austria,5.0,5.6
Belgium,,9.0
Bulgaria,7.9,4.5
Croatia,3.8,8.7
Czechia,3.2,4.2
Denmark,6.3,8.4
Estonia,6.9,8.2
Finland,4.8,6.5
France,7.0,10.8
Germany,8.5,9.1
Greece,4.4,2.6
Hungary,10.3,5.4
Iceland,8.8,7.6
Ireland,5.8,4.9
Italy,4.3,4.2
Latvia,4.7,5.6
Lithuania,3.9,5.5
Luxembourg,8.3,8.3
Netherlands,,8.2
Norway,6.4,6.2
Poland,5.3,5.0
Portugal,10.1,8.4
Romania,4.6,4.1
Slovak Republic,3.4,3.1
Slovenia,5.5,7.5
Spain,6.7,4.8
Sweden,9.2,10.5
TÃ¼rkiye,6.8,6.6
United Kingdom,8.2,
