Reference area,2006,2009,2012,2015,2018,2022
Australia,512.8932915909,514.9006552821,511.8039976357,502.9005598086,502.6317242965,498.05
Austria,490.1939773816,470.2836321014,489.6093351658,484.8655971403,484.3925684679,480.41
Belgium,500.9005946813,505.9457961641,508.6178765027,498.5241891857,492.8644386514,478.85
Brazil,392.885112093,411.7549273904,406.5331578289,407.3485922656,412.8733165079,
Canada,527.0112955884,524.2418333232,523.1240030691,526.6678054207,520.0855209497,507.13
Chile,442.0913456874,449.3696071481,441.3981638876,458.5708761146,452.2725541835,447.98
Colombia,385.308038471,413.1814991098,403.4025341769,424.9051670164,412.2950849934,408.67
Costa Rica,,,440.5478107363,427.4875482069,426.4982250097,415.23
Czechia,482.7151620012,478.1867204485,492.889738415,487.2501412656,490.2188148365,488.6
Denmark,494.4829810645,494.9161616782,496.1308814826,499.8145841025,501.12993371,488.8
Estonia,500.7497617929,500.9618654468,516.2941844145,519.1428550009,523.0170183682,511.03
Finland,546.8682813226,535.8779845253,524.0216697767,526.4247470861,520.0787481917,490.22
France,487.7062469339,495.6165414632,505.4814833314,499.3061419021,492.6064791968,473.85
Germany,494.944417932,497.3050580251,507.6765296424,509.1041386688,498.2792569465,479.79
Greece,459.711184693,482.7762417979,477.1971766013,467.0395379118,457.4143947657,438.44
Hungary,482.3745174753,494.1787532524,488.4613339406,469.5232578717,475.986672249,472.97
Iceland,484.4452719636,500.2833192979,482.5224400175,481.5255409933,473.9743169066,435.92
Ireland,517.3132382189,495.6391086086,523.1732100969,520.8148412527,518.0784592092,516.01
Israel,438.6722748393,473.9899505617,485.8032125706,478.9606426601,470.4151779885,473.83
Italy,468.5231087273,486.051098758,489.7544033438,484.7579960762,476.2846792907,481.6
Japan,497.9570687451,519.8577223567,538.0514848184,515.9584799072,503.8560409596,515.85
Korea,556.0219102574,539.2674838628,535.7904901084,517.4367097051,514.0522882434,515.42
Latvia,479.4918354322,483.9601454348,488.6944140807,487.7580985436,478.6986741576,474.57
Lithuania,470.0707556732,468.4427344685,477.3066119275,472.4065522199,475.87347969,471.83
Luxembourg,479.3665415702,472.1733866855,487.8070425543,481.4390972999,469.9853892538,
Mexico,410.4964548328,425.2652992598,423.5537618757,423.2764792183,420.4688923012,415.36
Netherlands,506.7469709867,508.4037229143,511.2299653839,502.9590511737,484.7837251087,459.24
New Zealand,521.0326450665,520.8800086576,512.1867932596,509.270712618,505.7272834164,500.85
Norway,484.2925630404,503.2300203955,503.9366857769,513.1911728377,499.4509562526,476.52
Poland,507.6395272512,500.478482589,518.1868806808,505.6970704146,511.8556953894,488.71
Portugal,472.3043050432,489.3349238432,487.7576873469,498.1289056272,491.8007851482,476.59
Slovak Republic,466.3497688372,477.4433524999,462.7670326303,452.5143368769,457.9839669915,446.86
Slovenia,494.4090368826,483.0820421596,481.3162835153,505.2158805735,495.3456151607,468.54
Spain,460.8301120718,481.0423259879,487.9391815852,495.5764353006,,474.31
Sweden,507.312880171,497.4494233373,483.3350056803,500.1556065967,505.7852204846,486.98
Switzerland,499.2777837981,500.5002117458,509.0402497128,492.1982285839,483.9294051739,483.33
TÃ¼rkiye,447.1411324913,464.194375322,475.4914662823,428.3350925744,465.6316656882,456.08
United Kingdom,495.0835095525,494.1820100348,499.3231152768,497.9719311387,503.9281093958,494.4
United States,,499.8268210825,497.5817180439,496.935097349,505.3527705228,503.94
