Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,0.7962343007100153,0.8047302873665172,0.8050995331262912,0.8085576335576588,0.8134034383023444,0.8204604266331167,0.823740026547872,0.8236217287985954,0.8222204475990718,0.8229361059930652,0.8241743052620063,0.8279902376942475,0.832834672249936,0.8244574375477745,0.824257711575507,0.8387398010645951,0.8399582997528569,0.854849489801063,
Austria,0.8049815262039381,0.7993501426153794,0.7982808974848258,0.7927450933686867,0.8001996225057559,0.8153187699675422,0.8191637974384357,0.8165410143524338,0.8133078994108294,0.8130805754009746,0.8176569329929616,0.8241709861790029,0.8245774059127062,0.8293624909725154,0.8188703482655015,0.8156950641658758,0.8136449701439469,0.8386005594709776,
Belgium,0.7589814250993391,0.7672864999250613,0.7594075128623258,0.7645170157619275,0.7686716021556227,0.7767920210437779,0.7760944560558953,0.7735286595839116,0.7797766570615278,0.7745032261833195,0.7774712338318648,0.777877034508534,0.7820090945986525,0.7866219427628067,0.7777097129410935,0.7892836870408649,0.7898527194574675,0.8207029934168453,
Bulgaria,0.5249835421692115,0.5459372823486177,0.5684696937492346,0.576045981941213,0.5639645078500048,0.5652586701237139,0.5666769123402584,0.5486710544132306,0.5739572733957534,0.5868760855428541,0.600314079158315,0.629244464667789,0.6252767800518578,0.648328748448859,0.642052739178393,0.6424932494153484,0.6633746152026274,,
Canada,0.8156420902769663,0.8172466915512024,0.8181497652420832,0.8191716883944025,0.820378528163766,0.8228230607358971,0.8267448379789281,0.8285753160612367,0.8315726463375321,0.8345804966389041,0.8362134363368144,0.8356704087398061,0.8210079130335353,0.8247686251299862,0.8162347890302746,0.8148083773384169,0.8213690673392782,0.8360638584601889,
Colombia,0.5504382224960186,0.5609847027292642,0.5641699462613967,0.5721433289770376,0.5785379663368201,0.5852841677972636,0.5897640707131705,0.5971580295932204,0.5998868396563766,0.6061152787031078,0.609957747893374,0.6078529439359857,0.6407879714404623,0.6388688678258038,0.6297790972584755,0.6178778286558494,0.6210392103675804,,
Costa Rica,,,,,,,0.6679743766928984,0.665618351385892,0.6639734154015473,0.6679663793986709,0.6656863054433919,0.6702916865216842,0.6723472065890321,0.67602190784215,0.6692370857497487,0.661692089294087,,,
Croatia,,,,,,0.5595562643918381,0.5539604970060981,0.5584803938685391,0.540103706544915,0.5554052345494448,0.5793488015872272,0.6528804963085532,0.6619006431388756,0.688891322633657,0.7017519779844704,0.7054768245677634,0.7217357567118017,0.7337639402722415,
Czechia,0.6672394898758416,0.682609785409014,0.6908111587237624,0.7011012777290156,0.7080237285504074,0.7092592806862109,0.7051169826470658,0.7024821498465273,0.7172765359437107,0.728436502845858,0.7467465054428641,0.7615485896281777,0.7744665969278532,0.7874906939169406,0.7864624116864961,0.7804670911982691,0.791016028719427,0.80530091088387,0.8187157665654407
Denmark,0.8183118028927066,0.8245906336139115,0.8247829180623885,0.8209019964901778,0.823433077833728,0.8243234168435093,0.8235420877361919,0.8256585008921576,0.8343223235576233,0.839654441732898,0.8444073914984601,0.8500970929340973,0.8443290525680953,0.8472491949642633,0.849697898605992,0.8503836099712861,0.8454629208922783,0.8536620371556565,0.8551009464332499
Estonia,0.6520280621509343,0.6688794106286761,0.673859465514022,0.6457596914395171,0.6251548780866066,0.6392122441115095,0.6616347381160421,0.6763983577500721,0.7029221717094625,0.7224623654254052,0.7281483856695314,0.7423003571008865,0.7419567427485648,0.7556770162612471,0.7621515560125952,0.7565352124639603,0.7723535432488263,0.7901731176456858,
Finland,0.8164973559279591,0.816317169421259,0.8169548595417494,0.8184978451536926,0.8176670410673191,0.8199009387050045,0.8220288635257356,0.823214338286103,0.8336659422185384,0.8373358275796654,0.8392080205053036,0.8458094282682465,0.8462300478032365,0.848359093549465,0.8488365578431111,0.8472781950493525,0.8380323064969355,0.8505756249105505,0.8545268905690133
France,0.7718940949929916,0.778806395349157,0.7788657399653289,0.7741025694797187,0.7746146581257927,0.7795363312402392,0.7812381890949786,0.7721661109325332,0.7768730929615699,0.7748790720424025,0.778993509289534,0.7949188868191337,0.7887621223014825,0.7920133308959018,0.7749692612749935,0.7820490681409507,0.7733022751996705,0.793909172514829,
Germany,0.7800219758227287,0.790413103558466,0.7946650296711761,0.7916110549259231,0.8000134372712636,0.8090779122065788,0.8159239670149799,0.8062551805065469,0.8199241618738115,0.8194539983691349,0.8248635778139907,0.8178506452519418,0.8075919837436136,0.8114813125399675,0.8100889609447914,0.8037191766443796,0.7890416362548729,0.8189421261980716,0.8389140439208514
Greece,0.6089933009544952,0.615570730199956,0.6271100148542827,0.6268983810770478,0.6162900758054679,0.5859508422134575,0.5625824818329045,0.5593095022836169,0.5587034304865791,0.5577721269644803,0.5626107556609583,0.5552931978150302,0.5740302109827029,0.5779427720825218,0.5928864183087671,0.5830054266608032,0.5983711527167845,0.6292967441827858,
Hungary,0.6076727979733733,0.6038439767235357,0.5965409900008922,0.5785518009499695,0.5749371266653246,0.5714503764658292,0.5711337491579301,0.5788385433446132,0.5761779159495386,0.5832053396166257,0.603216162119661,0.6351096480787559,0.6531536505248765,0.6732075956936738,0.6773678867352864,0.6717225089142318,0.7011749289466122,0.7222653796933809,
Iceland,,,0.8763390729225787,0.8449652737744903,0.8185719343733449,0.8223003011394368,0.8300910569507437,0.8241391848028851,0.8492761747528464,0.8609514787292739,0.8803026767608634,0.8830229189281814,0.8765184266315568,0.8820240119457101,0.8806078299330291,,,,
Ireland,0.7550576367686613,0.7683111435650121,0.7662135501712837,0.7388662470692827,0.7112714903956397,0.7110879586657629,0.710652288822861,0.7127559508924213,0.7243788691997545,0.7451156852091585,0.7626198856081512,0.7804337011970484,0.7984583738666665,0.8068201314599245,0.7947803924559905,0.79233623152807,0.8015478368244494,0.8228448185049646,
Israel,,,,,,,,,,,,,,,,0.8324059392350519,,,
Italy,0.7155293135158028,0.7183468367361434,0.708876335897262,0.7148648755205577,0.7168361439536446,0.7232323148412086,0.7129422397144649,0.7007959933262375,0.7077594607217454,0.7144947115646825,0.7294316184302919,0.734509692126002,0.7305727147868226,0.7495542868929376,0.7421469949125095,0.7449481204375713,0.7573320568471482,0.7789553916012412,0.7625677157339708
Japan,0.7986640956415955,0.8059990013468016,0.8048599869363118,0.8112570799788753,0.8106364947910402,0.8162364780327054,0.8285235172700582,0.8318324484936621,0.8329092645548493,0.8308340580274509,0.8311099029871301,0.8305714033031613,0.8330708105228738,0.8039562510692703,0.8100010683216706,0.8100096291072303,0.807018089772006,0.8118810400907468,
Korea,0.6979329605268109,0.7014280384359305,0.7019409442204646,0.706090226974402,0.7106826289309395,0.7189308937034204,0.7235172753001096,0.7118771365210778,0.7143052517241173,0.7200672963977652,0.7264690296362952,0.7418743974947444,0.7446700182332742,0.7543173615626909,0.7649866586351439,0.770828435297894,0.7607599355717556,,
Latvia,0.5280991521133289,0.555513405050788,0.5621227502228663,0.5278425514143961,0.4994665630592208,0.5094158221100964,0.5293204093512288,0.5524170078404296,0.5739565245384002,0.5898519440233433,0.5996142681666555,0.603897328295663,0.630901329311877,0.6523436594338967,0.6698186257297027,0.6613703386809228,0.6712752138255889,0.6916365117469367,
Lithuania,0.5966123438746087,0.6167414293802469,0.6128972483267043,0.5811759949887928,0.5488424969432322,0.5663887156905291,0.5788897526532707,0.6100707711881923,0.6248601833836224,0.6350316659914826,0.6477371078289659,0.6773909586096079,0.6910082562241591,0.7093669523494636,0.6806233038258888,0.683407890222556,0.7001927910232273,0.7364630389653875,
Luxembourg,0.802588294403842,0.8056552564678681,0.8384344754576936,0.8404077694885571,0.8412080534592611,0.8313344812098382,0.8336526841187062,0.8154028871658705,0.8366311434241624,0.8323618605676159,0.8320078359426955,0.8258876158355647,0.8194870834332759,0.8524750746221044,0.835119843041694,0.8445924925613244,0.8526879981306508,0.853753529300741,
Mexico,0.6204830338971755,0.6198699216858018,0.6142065749292022,0.6013338669542583,0.5910179682804152,0.5699668984355922,0.568594628008709,0.5712561717814414,0.5753734797004771,0.5704943607858822,0.5683962216097289,0.5759854199813383,0.5779256762143099,0.573615964131777,0.4720567150493979,0.5570992334212315,0.5794122306893729,0.6192626490068114,
Netherlands,0.7963283724840693,0.8107924560174466,0.8163788057581486,0.8239842369398815,0.8205139811371831,0.8198749896430264,0.8198017991820444,0.8075707523305332,0.80633964828506,0.8102756494475412,0.8128252143055228,0.8264331233453875,0.8242592360078375,0.8264751216411346,0.8260880575484679,0.8283124275957986,0.8231376410180261,0.8488264539815134,0.8581155034926298
New Zealand,0.8044560481451993,0.8091117034676238,0.8183399585029254,0.8157773491963854,0.813798160068786,0.8156583684995516,0.8194822231044129,0.827327755074923,0.8258949415913369,0.8285650822457893,0.8323145912338725,0.8342987757688807,0.8374005369131593,0.8428469486193372,0.8451739173321274,0.8497640529520591,0.8408695837684418,,
Norway,0.8101516906752573,0.8174595638988055,0.8196484553593321,0.820622163509959,0.8290744983714149,0.8276873103950383,0.8328099987496691,0.8333534126845736,0.8483212295448674,0.8502619545123947,0.8475604464751494,0.8509703366455452,0.8453535399892178,0.8432177057077961,0.8404499459782143,0.8390308128733128,0.8357556554871632,0.8975097505305305,
Poland,0.5969675046998344,0.6276612312008801,0.6580564971770333,0.668839678922058,0.6681461544392382,0.6729042819919622,0.6709323916611065,0.6782586312138674,0.6840819309324588,0.6868337417652307,0.7041244150991262,0.7059879891516623,0.7234470165836437,0.7326371978735515,0.7327708044619577,0.7318426643769589,0.7428706468088576,0.7617383406246079,
Portugal,0.6510909005964354,0.6501102388283226,0.6318526229681586,0.6328955553759547,0.6317377610319145,0.6365156110881206,0.6304944278314858,0.6224397065205381,0.6477169337151052,0.6582219295572621,0.6703166858236725,0.6973947347641966,0.7092201167158326,0.7206665012700523,0.7309539330872858,0.7265946537384356,0.7229808810909202,0.7494440918674602,0.7345038667765607
Romania,,0.6012924639220999,0.6121770778923447,0.6011871437276477,0.5996262266247656,0.6074724328664707,0.6033615492898607,0.6008879387017259,0.6101710693541569,0.6224475335328362,0.6220333801985314,0.6683819334472073,0.6818744990394432,0.6895027176003885,0.6779583085585027,0.6832349737246383,0.7156485674082215,0.7061590337173529,
Slovak Republic,0.6158121902809263,0.6322178666239019,0.6365282825627543,0.6470898841635366,0.6328992885006182,0.639793404645171,0.6330251149261287,0.6360692827128972,0.6437939075546385,0.6529432481049554,0.6765858798839465,0.689006686141742,0.701716051385353,0.7040223820347455,0.7111954154139415,0.6956818781981096,0.7067557094767442,0.7381339879274423,0.7423679172538208
Slovenia,0.708898120930774,0.7220699771976464,0.7160492896298453,0.7202016197349721,0.7144551739392598,0.7146003148529436,0.7130894600060054,0.6990090862062599,0.7089389990495193,0.7165564385859448,0.7285485320872641,0.7504457791495005,0.7574997901682872,0.7667503550738022,0.7610595752698359,0.7742934132247298,0.7736955737788433,0.8020127022280878,
Spain,0.7293517287895326,0.7426798919952217,0.7363058566579189,0.7286703721353236,0.7194845289511803,0.7291033038774725,0.7197356261540881,0.7143137186536131,0.7275994774901643,0.7328089193322231,0.7517699724448265,0.7705536265104642,0.7699572250692299,0.7870014392720732,0.7720848451827211,0.7794367038656212,0.7597893697401188,0.786971427449158,
Sweden,0.8100116116270298,0.8133951387108793,0.8078425593382552,0.8091206477522187,0.8087877430945064,0.8086001618515883,0.8069354337078118,0.8099555524718285,0.8177067366955421,0.822246385626364,0.8249712404166389,0.8298848548475682,0.8256143418267807,0.8289216210874497,0.8270780363697777,0.8299070949911552,0.8239748701854408,0.8368023485400023,0.8562452600864845
Switzerland,0.8358018738985964,0.8440074555047545,0.8479776576691815,0.8408264558581824,0.8446953807129851,0.8453245480329893,0.8507292266865466,0.848764445742121,0.8481197304290571,0.8464860906786367,0.8484940539936422,0.8505214396010421,0.8505452285062587,0.8541867412775243,0.8460408501085208,0.8513598898467117,0.8511620033446186,0.9041908355126673,
TÃ¼rkiye,0.5203390289522397,0.5255847655698054,0.5217570166975196,0.521526958324661,0.5301637663913944,0.5464997801255406,0.5478090310866153,0.5706488395858333,0.6187835071773428,0.6079391820754945,0.6362920136350882,0.6679128664775281,0.667002567310897,0.6510024714240316,0.6317675796794211,0.6120693703954769,0.611860281762894,,
United Kingdom,0.8091855245973081,0.8121988793699815,0.8012820326930512,0.7992725820733898,0.8011511092095522,0.793477294697935,0.7905145985131233,0.7916970798619327,0.7988810225888326,0.8094233018084274,0.816326736190246,0.8225671068169556,0.8255640328910527,0.834822523420947,0.8102263054013107,0.814369484989565,0.8163693529445594,0.8327511709057398,
United States,0.784637264728783,0.7880397263127856,0.7858536029038443,0.7667739208097617,0.7618037162808945,0.7561368411657801,0.7583608871142596,0.7634911402939446,0.7639743326463678,0.7635574124850993,0.7659636432739738,0.7688823287749761,0.7726501662313788,0.7752111329934348,0.7458341417410169,0.7322028250361946,0.7612830681142213,0.7851064811584876,
