Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,512.8932915909,513.5624128213001,514.2315340517,514.9006552821,513.8684360666334,512.8362168511667,511.8039976357,508.83618502666667,505.86837241763334,502.9005598086,502.81094797123336,502.72133613386666,502.6317242965,501.486293222375,500.34086214825004,499.195431074125,498.05
Austria,490.1939773816,483.5571956215333,476.92041386146667,470.2836321014,476.72553312286664,483.16743414433336,489.6093351658,488.02808915730003,486.4468431488,484.8655971403,484.70792091616664,484.55024469203335,484.3925684679,483.396926350925,482.40128423395004,481.405642116975,480.41
Belgium,500.9005946813,502.5823285089,504.2640623365,505.9457961641,506.8364896103,507.7271830565,508.6178765027,505.25331406370003,501.8887516247,498.5241891857,496.63760567426664,494.75102216283335,492.8644386514,489.36082898855,485.85721932570004,482.35360966285003,478.85
Canada,527.0112955884,526.0881415,525.1649874116,524.2418333232,523.8692232385,523.4966131538,523.1240030691,524.3052705196334,525.4865379701666,526.6678054207,524.4737105970333,522.2796157733667,520.0855209497,516.8466407122751,513.60776047485,510.368880237425,507.13
Colombia,385.308038471,394.59919201726666,403.8903455635333,413.1814991098,409.92184413216665,406.66218915453334,403.4025341769,410.57007845673337,417.73762273656666,424.9051670164,420.7018063420667,416.49844566773334,412.2950849934,411.38881374505,410.48254249670003,409.57627124835,408.67
Costa Rica,,,,,,,440.5478107363,436.19438989316666,431.8409690500333,427.4875482069,427.15777380783334,426.82799940876663,426.4982250097,423.681168757275,420.86411250485,418.047056252425,
Czechia,482.7151620012,481.2056814836333,479.69620096606667,478.1867204485,483.08772643733334,487.9887324261667,492.889738415,491.00987269853334,489.1300069820667,487.2501412656,488.23969912256666,489.2292569795333,490.2188148365,489.814111127375,489.40940741825,489.004703709125,488.6
Denmark,494.4829810645,494.6273746024,494.7717681403,494.9161616782,495.3210682796667,495.7259748811333,496.1308814826,497.3587823559,498.5866832292,499.8145841025,500.2530339716667,500.6914838408333,501.12993371,498.0474502825,494.964966855,491.8824834275,488.8
Estonia,500.7497617929,500.82046301086666,500.89116422883336,500.9618654468,506.07263843603334,511.1834114252667,516.2941844145,517.2437412766334,518.1932981387666,519.1428550009,520.43424279,521.7256305791,523.0170183682,520.0202637761499,517.0235091841,514.02675459205,511.03
Finland,546.8682813226,543.2048490568333,539.5414167910667,535.8779845253,531.9258796091,527.9737746929001,524.0216697767,524.8226955465,525.6237213163,526.4247470861,524.3094141212999,522.1940811565,520.0787481917,512.614061143775,505.14937409585,497.684687047925,490.22
France,487.7062469339,490.343011777,492.9797766201,495.6165414632,498.90485541926665,502.19316937533335,505.4814833314,503.4230361883,501.36458904520003,499.3061419021,497.07292100033334,494.8397000985667,492.6064791968,487.9173593976,483.2282395984,478.5391197992,473.85
Germany,494.944417932,495.73129796303334,496.51817799406666,497.3050580251,500.7622152308667,504.2193724366333,507.6765296424,508.15239931786664,508.62826899333334,509.1041386688,505.49584476136664,501.88755085393336,498.2792569465,493.656942709875,489.03462847325,484.41231423662504,479.79
Greece,459.711184693,467.3995370613,475.0878894296,482.7762417979,480.9165533990333,479.0568650001667,477.1971766013,473.8112970381333,470.42541747496665,467.0395379118,463.8311568631,460.62277581440003,457.4143947657,452.670796074275,447.92719738285,443.183598691425,438.44
Hungary,482.3745174753,486.30926273433334,490.24400799336667,494.1787532524,492.2729468151333,490.3671403778667,488.4613339406,482.14864191763337,475.83594989466667,469.5232578717,471.6777293308,473.8322007899,475.986672249,475.23250418675,474.4783361245,473.72416806225,472.97
Iceland,,,495.0039701864667,500.2833192979,494.3630262044333,488.4427331109667,482.5224400175,482.19014034276665,481.85784066803336,481.5255409933,479.0084662977333,476.4913916021667,473.9743169066,464.46073767995,454.9471584533,,
Ireland,517.3132382189,510.08852834879997,502.8638184787,495.6391086086,504.81714243803333,513.9951762674666,523.1732100969,522.3870871488333,521.6009642007667,520.8148412527,519.9027139048667,518.9905865570333,518.0784592092,517.5613444068999,517.0442296046,516.5271148023,516.01
Israel,,,,,,,,,,,,,,,,472.97629449712497,
Italy,468.5231087273,474.3657720708667,480.2084354144333,486.051098758,487.28553361993335,488.51996848186667,489.7544033438,488.0889342546,486.4234651654,484.7579960762,481.9335571477,479.1091182192,476.2846792907,477.61350946802503,478.94233964535,480.271169822675,481.6
Japan,497.9570687451,505.25728661563335,512.5575044861666,519.8577223567,525.9223098439334,531.9868973311667,538.0514848184,530.687149848,523.3228148776,515.9584799072,511.9243335913333,507.89018727546664,503.8560409596,506.85453071970005,509.8530204798,512.8515102399,515.85
Korea,556.0219102574,550.4371014592,544.852292661,539.2674838628,538.1084859446667,536.9494880265333,535.7904901084,529.6725633073,523.5546365062,517.4367097051,516.3085692178666,515.1804287306334,514.0522882434,514.3942161825499,514.7361441216999,515.07807206085,515.42
Latvia,479.4918354322,480.9812720997333,482.4707087672667,483.9601454348,485.5382349834333,487.1163245320667,488.6944140807,488.3823089016667,488.0702037226333,487.7580985436,484.7382904149333,481.7184822862667,478.6986741576,477.6665056182,476.6343370788,475.6021685394,474.57
Lithuania,470.0707556732,469.5280819383,468.9854082034,468.4427344685,471.3973602881667,474.35198610783334,477.3066119275,475.67325869163335,474.03990545576664,472.4065522199,473.56219470993335,474.71783719996665,475.87347969,474.8626097675,473.851739845,472.8408699225,471.83
Luxembourg,479.3665415702,476.9688232753,474.57110498040004,472.1733866855,477.3846053084333,482.5958239313667,487.8070425543,485.68439413616665,483.56174571803336,481.4390972999,477.6211946178667,473.80329193583333,469.9853892538,,,,
Mexico,410.4964548328,415.4194029751333,420.34235111746665,425.2652992598,424.6947867984333,424.12427433706665,423.5537618757,423.4613343232333,423.36890677076667,423.2764792183,422.3406169126,421.4047546069,420.4688923012,419.1916692259,417.91444615060004,416.6372230753,415.36
Netherlands,506.7469709867,507.29922162923333,507.8514722717666,508.4037229143,509.3458037375,510.2878845607,511.2299653839,508.4729939805,505.7160225771,502.9590511737,496.9006091520333,490.8421671303667,484.7837251087,478.397793831525,472.01186255435005,465.625931277175,459.24
New Zealand,521.0326450665,520.9817662635334,520.9308874605666,520.8800086576,517.9822701916,515.0845317256,512.1867932596,511.21476637906665,510.24273949853335,509.270712618,508.0895695508,506.9084264836,505.7272834164,504.5079625623,503.2886417082,502.0693208541,500.85
Norway,484.2925630404,490.60504882543336,496.91753461046665,503.2300203955,503.46557552263334,503.70113064976664,503.9366857769,507.0215147971667,510.10634381743336,513.1911728377,508.6111006426667,504.03102844763333,499.4509562526,493.71821718945,487.9854781263,482.25273906315,476.52
Poland,507.6395272512,505.2525123638,502.8654974764,500.478482589,506.3812819529333,512.2840813168666,518.1868806808,514.0236105920667,509.8603405033333,505.6970704146,507.74994540619997,509.8028203978,511.8556953894,506.06927154205,500.28284769469997,494.49642384735,488.71
Portugal,472.3043050432,477.98117797653333,483.65805090986663,489.3349238432,488.80917834443335,488.28343284566665,487.7576873469,491.214760107,494.6718328671,498.1289056272,496.0195321342,493.91015864120004,491.8007851482,487.99808886115,484.19539257409997,480.39269628705,476.59
Slovak Republic,466.3497688372,470.04763005809997,473.745491279,477.4433524999,472.5512458767,467.6591392535,462.7670326303,459.34946737916664,455.93190212803336,452.5143368769,454.3375469151,456.1607569533,457.9839669915,455.202975243625,452.42198349575,449.640991747875,446.86
Slovenia,494.4090368826,490.6333719749333,486.8577070672667,483.0820421596,482.49345594483333,481.90486973006665,481.3162835153,489.2828158680333,497.24934822076665,505.2158805735,501.9257921025667,498.6357036316333,495.3456151607,488.644211370525,481.94280758035,475.241403790175,468.54
Spain,460.8301120718,467.5675167105,474.3049213492,481.0423259879,483.34127785366667,485.64022971943336,487.9391815852,490.48493282366667,493.03068406213333,495.5764353006,,,,,,,474.31
Sweden,507.312880171,504.02506122643337,500.73724228186666,497.4494233373,492.74461745163336,488.03981156596666,483.3350056803,488.94187265243335,494.5487396245667,500.1556065967,502.03214455933335,503.9086825219667,505.7852204846,501.08391536345005,496.3826102423,491.68130512115,486.98
Switzerland,499.2777837981,499.6852597806667,500.09273576323335,500.5002117458,503.34689106813335,506.1935703904667,509.0402497128,503.42624266983336,497.81223562686665,492.1982285839,489.4419541139,486.6856796439,483.9294051739,483.779553880425,483.62970258695,483.479851293475,483.33
TÃ¼rkiye,447.1411324913,452.8255467682,458.5099610451,464.194375322,467.96007230876666,471.7257692955333,475.4914662823,459.77267504633335,444.05388381036664,428.3350925744,440.7672836123333,453.19947465026667,465.6316656882,463.24374926614996,460.85583284409995,458.46791642205,456.08
United Kingdom,495.0835095525,494.78300971326667,494.4825098740333,494.1820100348,495.89571178213333,497.6094135294667,499.3231152768,498.8727205641,498.4223258514,497.9719311387,499.95732389106666,501.9427166434333,503.9281093958,501.54608204684996,499.1640546979,496.78202734895,494.4
United States,,,,499.8268210825,499.07845340296666,498.33008572343334,497.5817180439,497.3661778122667,497.1506375806333,496.935097349,499.7409884069333,502.54687946486666,505.3527705228,504.9995778921,504.6463852614,504.2931926307,503.94
